iter	Passed	Remaining
0	164	163895
1	167	83591
2	170	56528
3	172	42926
4	199	39780
5	202	33616
6	209	29664
7	211	26267
8	213	23537
9	215	21373
10	217	19590
11	225	18570
12	227	17281
13	231	16277
14	233	15330
15	236	14517
16	238	13769
17	240	13095
18	248	12854
19	251	12305
20	253	11806
21	255	11347
22	266	11323
23	268	10924
24	272	10608
25	280	10517
26	282	10191
27	285	9901
28	298	9995
29	300	9717
30	302	9457
31	304	9215
32	307	9012
33	310	8817
34	312	8617
35	314	8424
36	319	8326
37	330	8364
38	336	8282
39	338	8119
40	351	8227
41	354	8091
42	357	7946
43	359	7802
44	361	7666
45	363	7548
46	366	7423
47	368	7302
48	370	7184
49	372	7072
50	374	6962
51	376	6855
52	379	6777
53	381	6680
54	388	6675
55	390	6590
56	393	6502
57	395	6422
58	397	6341
59	400	6271
60	407	6267
61	409	6189
62	411	6115
63	413	6042
64	415	5973
65	417	5904
66	419	5835
67	423	5804
68	441	5956
69	443	5891
70	445	5827
71	447	5764
72	449	5703
73	451	5645
74	454	5609
75	456	5552
76	458	5496
77	460	5444
78	462	5392
79	464	5341
80	467	5304
81	479	5368
82	486	5370
83	489	5341
84	502	5410
85	504	5361
86	506	5317
87	509	5278
88	511	5235
89	514	5202
90	516	5163
91	519	5122
92	521	5082
93	523	5041
94	524	5000
95	533	5025
96	535	4986
97	548	5048
98	550	5009
99	552	4971
100	554	4934
101	559	4921
102	564	4912
103	566	4878
104	568	4844
105	570	4813
106	573	4787
107	581	4800
108	583	4767
109	606	4903
110	607	4869
111	611	4847
112	613	4814
113	615	4782
114	617	4751
115	619	4719
116	620	4683
117	622	4652
118	626	4640
119	629	4616
120	631	4587
121	633	4557
122	635	4530
123	647	4574
124	699	4896
125	715	4965
126	717	4935
127	720	4907
128	731	4942
129	734	4912
130	736	4887
131	747	4913
132	749	4883
133	750	4853
134	764	4896
135	813	5171
136	817	5151
137	824	5152
138	826	5121
139	828	5090
140	831	5067
141	832	5032
142	836	5013
143	838	4984
144	840	4955
145	843	4936
146	847	4915
147	850	4896
148	867	4953
149	869	4927
150	875	4925
151	879	4905
152	881	4880
153	883	4854
154	885	4827
155	887	4801
156	889	4776
157	892	4755
158	899	4757
159	901	4735
160	903	4705
161	947	4899
162	949	4875
163	952	4853
164	954	4828
165	958	4815
166	960	4792
167	962	4768
168	964	4744
169	966	4720
170	968	4696
171	970	4673
172	972	4650
173	975	4628
174	977	4607
175	979	4586
176	981	4564
177	995	4599
178	998	4578
179	1003	4571
180	1006	4553
181	1008	4534
182	1012	4518
183	1039	4608
184	1042	4593
185	1051	4602
186	1061	4613
187	1063	4592
188	1065	4571
189	1067	4551
190	1071	4536
191	1073	4518
192	1075	4498
193	1077	4477
194	1079	4457
195	1082	4438
196	1084	4421
197	1087	4403
198	1089	4384
199	1093	4374
200	1095	4355
201	1097	4337
202	1111	4363
203	1114	4350
204	1126	4370
205	1128	4351
206	1130	4332
207	1138	4336
208	1142	4322
209	1144	4305
210	1163	4350
211	1175	4367
212	1178	4353
213	1189	4368
214	1191	4350
215	1193	4331
216	1195	4315
217	1205	4324
218	1207	4305
219	1209	4287
220	1211	4270
221	1240	4346
222	1242	4330
223	1258	4359
224	1266	4363
225	1269	4346
226	1271	4328
227	1273	4310
228	1284	4323
229	1287	4310
230	1289	4293
231	1297	4294
232	1314	4328
233	1316	4310
234	1318	4293
235	1321	4279
236	1332	4289
237	1334	4271
238	1337	4257
239	1349	4272
240	1352	4258
241	1355	4244
242	1360	4237
243	1362	4220
244	1394	4296
245	1396	4279
246	1399	4266
247	1407	4268
248	1409	4252
249	1411	4235
250	1413	4218
251	1444	4288
252	1447	4273
253	1458	4283
254	1460	4266
255	1463	4252
256	1473	4260
257	1476	4246
258	1479	4233
259	1489	4239
260	1492	4225
261	1494	4209
262	1504	4215
263	1506	4199
264	1510	4188
265	1512	4173
266	1522	4180
267	1524	4165
268	1528	4152
269	1535	4151
270	1537	4136
271	1548	4143
272	1564	4165
273	1566	4151
274	1570	4139
275	1572	4124
276	1589	4147
277	1591	4132
278	1595	4123
279	1597	4108
280	1600	4094
281	1601	4078
282	1603	4063
283	1605	4048
284	1607	4033
285	1615	4032
286	1677	4167
287	1679	4152
288	1681	4137
289	1688	4133
290	1691	4120
291	1693	4106
292	1695	4091
293	1697	4076
294	1700	4064
295	1702	4049
296	1707	4040
297	1709	4026
298	1711	4013
299	1713	3998
300	1741	4043
301	1743	4029
302	1745	4016
303	1751	4009
304	1762	4015
305	1765	4004
306	1768	3991
307	1778	3994
308	1780	3981
309	1783	3970
310	1788	3963
311	1790	3949
312	1793	3935
313	1797	3926
314	1799	3913
315	1804	3906
316	1807	3893
317	1809	3881
318	1814	3872
319	1818	3865
320	1820	3851
321	1823	3838
322	1825	3825
323	1827	3812
324	1829	3799
325	1831	3786
326	1833	3774
327	1836	3763
328	1839	3750
329	1840	3737
330	1848	3735
331	1850	3723
332	1853	3711
333	1855	3699
334	1869	3711
335	1871	3698
336	1876	3690
337	1882	3687
338	1885	3676
339	1887	3663
340	1895	3662
341	1897	3651
342	1899	3639
343	1901	3626
344	1904	3615
345	1910	3611
346	1912	3599
347	1928	3613
348	1931	3602
349	1933	3590
350	1935	3579
351	1943	3577
352	1945	3566
353	1947	3554
354	1949	3542
355	1951	3530
356	1956	3523
357	1961	3517
358	1963	3505
359	1965	3494
360	1969	3486
361	1974	3479
362	1976	3468
363	1978	3457
364	1982	3449
365	1984	3438
366	1987	3428
367	1994	3425
368	2001	3422
369	2003	3411
370	2006	3401
371	2019	3408
372	2021	3397
373	2027	3394
374	2029	3383
375	2032	3373
376	2034	3362
377	2037	3352
378	2041	3345
379	2044	3335
380	2046	3325
381	2049	3315
382	2058	3316
383	2063	3309
384	2065	3299
385	2068	3290
386	2073	3284
387	2075	3274
388	2077	3263
389	2079	3253
390	2082	3242
391	2084	3232
392	2088	3225
393	2090	3215
394	2092	3204
395	2094	3194
396	2096	3184
397	2098	3174
398	2102	3167
399	2105	3157
400	2110	3152
401	2112	3142
402	2115	3133
403	2119	3126
404	2121	3116
405	2123	3106
406	2125	3096
407	2127	3086
408	2129	3076
409	2132	3069
410	2134	3059
411	2136	3049
412	2138	3039
413	2140	3030
414	2142	3020
415	2144	3010
416	2150	3006
417	2159	3006
418	2161	2996
419	2164	2989
420	2166	2979
421	2169	2970
422	2171	2961
423	2173	2952
424	2175	2943
425	2179	2937
426	2188	2936
427	2190	2927
428	2192	2917
429	2195	2910
430	2197	2901
431	2199	2892
432	2202	2883
433	2204	2874
434	2206	2865
435	2209	2858
436	2211	2849
437	2213	2840
438	2215	2830
439	2217	2821
440	2238	2837
441	2244	2834
442	2247	2825
443	2258	2828
444	2260	2819
445	2262	2810
446	2264	2801
447	2266	2792
448	2270	2786
449	2272	2777
450	2274	2768
451	2276	2760
452	2278	2751
453	2281	2744
454	2304	2760
455	2306	2751
456	2308	2743
457	2310	2734
458	2314	2728
459	2316	2719
460	2318	2710
461	2320	2701
462	2322	2693
463	2324	2685
464	2326	2676
465	2330	2670
466	2332	2662
467	2334	2653
468	2336	2644
469	2364	2666
470	2366	2658
471	2369	2650
472	2371	2641
473	2372	2633
474	2374	2624
475	2378	2618
476	2380	2610
477	2382	2601
478	2384	2593
479	2386	2585
480	2388	2576
481	2389	2568
482	2393	2562
483	2398	2557
484	2400	2549
485	2419	2558
486	2421	2550
487	2425	2544
488	2428	2537
489	2431	2530
490	2433	2522
491	2435	2515
492	2437	2507
493	2442	2501
494	2444	2494
495	2447	2487
496	2449	2479
497	2451	2471
498	2453	2462
499	2483	2483
500	2485	2475
501	2489	2469
502	2491	2461
503	2492	2453
504	2494	2445
505	2496	2437
506	2498	2429
507	2500	2421
508	2502	2414
509	2555	2455
510	2557	2447
511	2559	2439
512	2561	2431
513	2564	2425
514	2566	2417
515	2568	2409
516	2570	2401
517	2572	2394
518	2575	2386
519	2577	2378
520	2581	2373
521	2583	2365
522	2586	2358
523	2622	2381
524	2624	2374
525	2625	2366
526	2629	2360
527	2631	2352
528	2633	2344
529	2635	2337
530	2637	2329
531	2638	2321
532	2640	2313
533	2643	2307
534	2646	2300
535	2648	2292
536	2650	2285
537	2652	2277
538	2687	2298
539	2689	2290
540	2691	2283
541	2694	2276
542	2695	2268
543	2698	2261
544	2700	2254
545	2702	2247
546	2704	2240
547	2708	2234
548	2710	2226
549	2712	2219
550	2714	2211
551	2716	2204
552	2717	2196
553	2753	2216
554	2757	2210
555	2758	2203
556	2760	2195
557	2762	2188
558	2764	2180
559	2765	2173
560	2767	2165
561	2769	2158
562	2772	2152
563	2774	2144
564	2776	2137
565	2777	2129
566	2779	2122
567	2780	2115
568	2782	2107
569	2786	2102
570	2817	2117
571	2832	2119
572	2833	2111
573	2837	2105
574	2839	2098
575	2841	2091
576	2842	2084
577	2844	2076
578	2846	2069
579	2848	2062
580	2854	2058
581	2857	2051
582	2859	2044
583	2888	2057
584	2890	2050
585	2891	2043
586	2893	2035
587	2895	2028
588	2897	2021
589	2901	2016
590	2903	2009
591	2908	2004
592	2910	1997
593	2912	1990
594	2915	1984
595	2917	1977
596	2920	1971
597	2922	1964
598	2952	1976
599	2954	1969
600	2956	1962
601	2958	1955
602	2960	1948
603	2963	1942
604	2965	1936
605	2967	1929
606	2969	1922
607	2971	1915
608	2973	1909
609	3003	1919
610	3007	1914
611	3012	1909
612	3025	1909
613	3034	1907
614	3036	1901
615	3039	1894
616	3044	1890
617	3047	1883
618	3049	1876
619	3051	1870
620	3053	1863
621	3055	1856
622	3058	1850
623	3060	1844
624	3062	1837
625	3066	1831
626	3082	1833
627	3084	1827
628	3087	1821
629	3091	1815
630	3096	1810
631	3099	1804
632	3103	1799
633	3107	1793
634	3116	1791
635	3122	1787
636	3128	1782
637	3130	1776
638	3133	1769
639	3135	1763
640	3177	1779
641	3179	1772
642	3181	1766
643	3183	1759
644	3184	1752
645	3186	1746
646	3191	1741
647	3194	1735
648	3196	1728
649	3199	1722
650	3205	1718
651	3217	1717
652	3219	1710
653	3226	1706
654	3262	1718
655	3264	1712
656	3268	1706
657	3270	1699
658	3274	1694
659	3276	1687
660	3278	1681
661	3280	1674
662	3284	1669
663	3304	1672
664	3306	1665
665	3308	1659
666	3310	1652
667	3312	1646
668	3337	1651
669	3344	1647
670	3346	1640
671	3351	1635
672	3353	1629
673	3355	1623
674	3357	1616
675	3359	1610
676	3361	1603
677	3364	1597
678	3366	1591
679	3368	1585
680	3370	1578
681	3373	1572
682	3375	1566
683	3377	1560
684	3379	1554
685	3382	1548
686	3384	1542
687	3388	1536
688	3396	1532
689	3411	1532
690	3414	1526
691	3418	1521
692	3421	1515
693	3423	1509
694	3425	1503
695	3464	1513
696	3466	1506
697	3470	1501
698	3472	1495
699	3474	1489
700	3476	1482
701	3479	1477
702	3481	1470
703	3483	1464
704	3485	1458
705	3487	1452
706	3489	1446
707	3491	1439
708	3493	1433
709	3518	1437
710	3520	1431
711	3522	1424
712	3524	1418
713	3525	1412
714	3527	1406
715	3530	1400
716	3532	1394
717	3534	1388
718	3536	1382
719	3538	1375
720	3539	1369
721	3541	1363
722	3543	1357
723	3545	1351
724	3586	1360
725	3588	1354
726	3590	1348
727	3595	1343
728	3597	1337
729	3603	1332
730	3606	1327
731	3610	1322
732	3612	1315
733	3615	1310
734	3617	1304
735	3619	1298
736	3622	1292
737	3626	1287
738	3640	1285
739	3642	1279
740	3645	1274
741	3647	1268
742	3649	1262
743	3651	1256
744	3656	1251
745	3658	1245
746	3659	1239
747	3661	1233
748	3664	1227
749	3666	1222
750	3668	1216
751	3673	1211
752	3706	1215
753	3709	1210
754	3711	1204
755	3713	1198
756	3715	1192
757	3717	1186
758	3721	1181
759	3723	1175
760	3725	1170
761	3727	1164
762	3729	1158
763	3731	1152
764	3734	1147
765	3736	1141
766	3738	1135
767	3743	1130
768	3745	1125
769	3748	1119
770	3751	1114
771	3754	1108
772	3759	1103
773	3761	1098
774	3763	1092
775	3766	1087
776	3768	1081
777	3770	1076
778	3774	1070
779	3777	1065
780	3778	1059
781	3781	1054
782	3783	1048
783	3789	1044
784	3794	1039
785	3796	1033
786	3798	1028
787	3801	1022
788	3804	1017
789	3807	1012
790	3809	1006
791	3811	1000
792	3813	995
793	3814	989
794	3816	984
795	3820	979
796	3822	973
797	3833	970
798	3836	965
799	3838	959
800	3840	954
801	3842	948
802	3844	943
803	3846	937
804	3852	933
805	3854	927
806	3857	922
807	3859	917
808	3861	911
809	3865	906
810	3867	901
811	3870	896
812	3876	891
813	3878	886
814	3880	880
815	3882	875
816	3884	870
817	3886	864
818	3893	860
819	3895	855
820	3900	850
821	3902	845
822	3904	839
823	3906	834
824	3938	835
825	3940	830
826	3961	828
827	3966	823
828	3968	818
829	3970	813
830	3972	807
831	3974	802
832	3977	797
833	3982	792
834	3985	787
835	3987	782
836	3989	776
837	3991	771
838	3995	766
839	3997	761
840	4020	760
841	4023	754
842	4027	750
843	4029	744
844	4031	739
845	4033	734
846	4036	729
847	4038	723
848	4040	718
849	4044	713
850	4046	708
851	4048	703
852	4050	698
853	4065	694
854	4067	689
855	4078	686
856	4081	680
857	4083	675
858	4085	670
859	4099	667
860	4102	662
861	4104	657
862	4107	652
863	4109	646
864	4111	641
865	4113	636
866	4115	631
867	4117	626
868	4120	621
869	4123	616
870	4125	610
871	4127	605
872	4140	602
873	4142	597
874	4144	592
875	4146	586
876	4148	581
877	4153	577
878	4157	572
879	4159	567
880	4161	562
881	4163	557
882	4167	552
883	4169	547
884	4172	542
885	4174	537
886	4178	532
887	4180	527
888	4182	522
889	4184	517
890	4186	512
891	4188	507
892	4191	502
893	4194	497
894	4196	492
895	4198	487
896	4200	482
897	4202	477
898	4204	472
899	4209	467
900	4211	462
901	4213	457
902	4215	452
903	4217	447
904	4225	443
905	4227	438
906	4228	433
907	4231	428
908	4233	423
909	4234	418
910	4238	414
911	4240	409
912	4242	404
913	4245	399
914	4248	394
915	4250	389
916	4255	385
917	4257	380
918	4262	375
919	4273	371
920	4275	366
921	4277	361
922	4279	356
923	4280	352
924	4282	347
925	4312	344
926	4314	339
927	4368	338
928	4370	333
929	4372	329
930	4373	324
931	4375	319
932	4377	314
933	4379	309
934	4384	304
935	4386	299
936	4388	295
937	4390	290
938	4392	285
939	4394	280
940	4396	275
941	4399	270
942	4460	269
943	4464	264
944	4466	259
945	4468	255
946	4470	250
947	4472	245
948	4474	240
949	4476	235
950	4479	230
951	4481	225
952	4483	221
953	4485	216
954	4487	211
955	4489	206
956	4490	201
957	4492	196
958	4494	192
959	4496	187
960	4498	182
961	4500	177
962	4504	173
963	4506	168
964	4514	163
965	4516	158
966	4519	154
967	4521	149
968	4523	144
969	4525	139
970	4527	135
971	4581	131
972	4585	127
973	4587	122
974	4589	117
975	4591	112
976	4593	108
977	4596	103
978	4598	98
979	4601	93
980	4603	89
981	4605	84
982	4607	79
983	4609	74
984	4611	70
985	4637	65
986	4639	61
987	4641	56
988	4644	51
989	4648	46
990	4650	42
991	4652	37
992	4654	32
993	4656	28
994	4658	23
995	4660	18
996	4664	14
997	4666	9
998	4708	4
999	4710	0
